"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"353","CALM2",-1.15606780114054,20.0041283591859,-9.7579588900594,2.88643752735072e-11,5.07926842499478e-10,15.1751030600572
"354","CALM1",-1.15606780114054,20.0041283591859,-9.7579588900594,2.88643752735072e-11,5.07926842499478e-10,15.1751030600572
"355","CALM3",-1.15606780114054,20.0041283591859,-9.7579588900594,2.88643752735072e-11,5.07926842499478e-10,15.1751030600572
"1234","CSRP1",1.09803688011862,17.9404697332025,9.73649997096451,3.04832657005075e-11,5.32441040902198e-10,15.1167575464447
"23","ACTG1",-1.01724283115154,19.9142955897991,-9.71701504850913,3.20334290203533e-11,5.55403129632302e-10,15.0844812298766
"1071","RECQL",-1.27210620186419,15.3840568136472,-9.7012940966502,3.33426249322713e-11,5.69723982538375e-10,15.0596128865441
"1362","EIF1",1.48947467872656,16.7859054534643,9.70560409176176,3.29783611641892e-11,5.67612960767578e-10,15.0419445039004
"819","PUF60",-1.31393164171968,15.9157796143515,-9.67466935997416,3.56856857231985e-11,6.01048906680729e-10,15.0158861943477
"631","SLC25A11",1.48697563151941,16.8858916720674,9.69322602381035,3.40355794146204e-11,5.77380548630755e-10,14.9928321371624
"895","RPS6",1.45851961960199,15.5274695393146,9.65602702807535,3.74256715144486e-11,6.22476088850435e-10,14.94010077206
"683","DNAJB11",-1.06729501084243,16.9463381541325,-9.65539832643347,3.74858374116886e-11,6.22476088850435e-10,14.9255678921159
"1631","ATXN2L",7.20156279651931,11.0247738791374,9.50834066187793,5.46590970195805e-11,8.70852370082235e-10,14.9048007636858
"2313","LSM1",-1.76218215394298,12.5336414830687,-9.60030124375931,4.31609561738802e-11,7.01886445917308e-10,14.8213216102317
"2652","GRPEL1",1.60336053339684,16.5401788991669,9.60522711427696,4.26197011168205e-11,6.97897605787936e-10,14.788935248909
"2653","TAPBP",1.60336053339684,16.5401788991669,9.60522711427696,4.26197011168205e-11,6.97897605787936e-10,14.788935248909
"755","SLC25A3",0.923699222045874,19.2387050400521,9.54460717148426,4.97913474564617e-11,8.04164365084498e-10,14.6223575221826
"542","PSMA1",1.00443588174123,17.2511511902445,9.5204286499172,5.29849131710027e-11,8.49921260253227e-10,14.5806291493391
"1197","HNRNPDL",-0.811991908655111,16.9137675102456,-9.49099186194731,5.71566795810696e-11,9.04533224511155e-10,14.5136379210047
"1727","BID",1.7028756726147,14.7601769997174,9.4585969827092,6.21364340022261e-11,9.70315969385756e-10,14.4422266975559
